"accuracy","time","generation","sub_gens","number_parents","evolution_method","mutation","crossover","f_default","cr_default","f_jde","cr_jde","archive_size","f_cr_adapt","perc_of_best","degl_scalar_weight","degl_neighborhoodclamp_min","clamp_max","random_min","random_max","restart_count","restart_delta","hidden_layers","dataset","output"
0.7942,346.519,8000.0,50.0,150.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.7983,344.105,8000.0,50.0,150.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.8182,343.309,8000.0,50.0,150.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.8571,343.401,8000.0,50.0,150.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.8658,344.368,8000.0,50.0,150.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.871,343.966,8000.0,50.0,150.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.7505,344.707,8000.0,50.0,150.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.7619,345.432,8000.0,50.0,150.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.8162,345.93,8000.0,50.0,150.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.7746,345.565,8000.0,50.0,150.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.814,345.851,8000.0,50.0,150.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.839,342.38,8000.0,50.0,150.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.7811,89.6175,8000.0,100.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.7964,92.4699,8000.0,100.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.8214,91.7117,8000.0,100.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.8182,89.657,8000.0,100.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.8373,89.5075,8000.0,100.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.8536,89.6592,8000.0,100.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.75,90.6804,8000.0,100.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.7828,91.6101,8000.0,100.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.8112,90.9762,8000.0,100.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.763,88.3423,8000.0,100.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.7919,89.258,8000.0,100.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.832,89.5987,8000.0,100.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.7828,144.436,8000.0,100.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.7965,145.864,8000.0,100.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.8323,146.273,8000.0,100.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.8495,141.744,8000.0,100.0,100.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.8546,142.678,8000.0,100.0,100.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.8581,143.525,8000.0,100.0,100.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.7373,145.864,8000.0,100.0,100.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.7934,146.772,8000.0,100.0,100.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.8042,145.106,8000.0,100.0,100.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.7813,143.246,8000.0,100.0,100.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.8208,142.502,8000.0,100.0,100.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.8357,143.413,8000.0,100.0,100.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.8022,191.299,8000.0,100.0,150.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.8085,191.843,8000.0,100.0,150.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.8082,193.083,8000.0,100.0,150.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.8469,188.814,8000.0,100.0,150.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.864,190.271,8000.0,100.0,150.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.8659,188.724,8000.0,100.0,150.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.7534,192.539,8000.0,100.0,150.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.7787,192.314,8000.0,100.0,150.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.8159,191.22,8000.0,100.0,150.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.793,187.965,8000.0,100.0,150.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.8014,188.811,8000.0,100.0,150.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.8303,189.749,8000.0,100.0,150.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.7632,176.177,8000.0,50.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_1.0.json"
0.7889,175.383,8000.0,50.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.5.json"
0.8237,175.522,8000.0,50.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.25.json"
0.8411,172.362,8000.0,50.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_1.0.json"
0.8504,173.09,8000.0,50.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.5.json"
0.8596,174.122,8000.0,50.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.25.json"
0.7421,176.834,8000.0,50.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_1.0.json"
0.774,175.647,8000.0,50.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.5.json"
0.8274,176.228,8000.0,50.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.25.json"
0.7753,173.185,8000.0,50.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_1.0.json"
0.818,173.255,8000.0,50.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.5.json"
0.8291,173.938,8000.0,50.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.25.json"
